Title,DOI,relevance_score,is_data_available,is_model_used,is_dataset_public,dataset_link,citation_count,disease_focus,location_focus,keywords,models,discussion_recommendation
Phylogenetic concordance analysis shows an emerging pathogen is novel and endemic,10.1111/j.1461-0248.2007.01102.x,,,,,,,,,,,
Impact of wars and natural disasters on emerging and re-emerging infectious diseases,10.3389/fpubh.2023.1215929,,,,,,,,,,,
"Inferences about spatiotemporal variation in dengue virus transmission are sensitive to assumptions about human mobility: a case study using geolocated tweets from Lahore, Pakistan",10.1140/epjds/s13688-018-0144-x,9.0,,,no,not mentioned,33.0,dengue,"Lahore, Pakistan","['human mobility', 'dengue virus', 'spatiotemporal variation']","['gravity model', 'radiation model']","Yes, this paper should be included in the discussion as it provides significant insights into how different assumptions about human mobility affect the transmission of a specific infectious disease, dengue, in an urban setting. The study's focus on using geolocated tweets for modeling and its scrutiny of model assumptions make it particularly relevant."
Delay in the Effect of Restricting Community Mobility on the Spread of COVID-19 During the First Wave in the United States,10.1093/ofid/ofab586,9.0,,,no,not mentioned,7.0,COVID-19,United States,"['COVID-19', 'human mobility', 'Bayesian hierarchical spatiotemporal model']",['Bayesian hierarchical spatiotemporal model'],"Yes, this paper should be included because it provides a detailed investigation into how mobility restrictions impacted COVID-19 transmission dynamics in the United States, employing sophisticated modeling techniques."
Vector dynamics influence spatially imperfect genetic interventions against disease,10.1093/emph/eoaa035,,,,,,,,,,,
Implications of wildlife trade on the movement of avian influenza and other infectious diseases,,,,,,,,,,,,
Impact of Human Diffusion and Spatial Heterogeneity on Transmission Dynamics of Mosquito-borne Diseases,,8.0,,,no,not mentioned,0.0,mosquito-borne diseases,global,"['human diffusion', 'mosquito-borne diseases', 'spatial heterogeneity']",['reaction-diffusion generic model'],"Yes, this paper should be included as it provides insights into how human mobility influences the spread of mosquito-borne diseases through a mathematical model approach, which is crucial for understanding disease dynamics and control."
Infectious disease modeling and the dynamics of transmission,,8.0,,,no,not mentioned,28.0,not specified,global,"['disease transmission', 'biological variables', 'wildlife diseases']",[],"Yes, this paper should be included as it provides a fundamental understanding of disease transmission dynamics which is crucial for modeling the impact of human mobility on infectious diseases, despite not focusing on a specific disease in humans."
How disease spread dynamics evolve over time,10.1145/3487351.3488352,9.0,,,no,not mentioned,0.0,COVID-19,global,"['human mobility', 'disease spread dynamics', 'latent period']",['disease spread simulations'],"Yes, this paper should be included because it explores the crucial relationship between human mobility and the dynamics of disease spread, specifically focusing on temporal changes and the behavior of different mobility profiles."
A Bayesian machine learning approach for spatio-temporal prediction of COVID-19 cases,10.1007/s00477-021-02168-w,,,,,,,,,,,
The Use of Census Migration Data to Approximate Human Movement Patterns across Temporal Scales,10.1371/journal.pone.0052971,8.0,,,not provided,not mentioned,59.0,not specified,Kenya,"['human movement', 'census migration data', 'temporal scales']",['spatial interaction model'],"Yes, this paper should be included as it provides insight on the use of census migration data to approximate human movement patterns which are crucial for understanding the dynamics of infectious disease transmission despite not focusing on a specific disease."
Spatial-temporal diffusion model of aggregated infectious diseases based on population life characteristics: a case study of COVID-19,10.3934/mbe.2023583,9.0,,,no,not mentioned,2.0,COVID-19,Chinese cities,"['spatial-temporal diffusion model', 'COVID-19', 'viral spread simulation']",['spatial-temporal diffusion model'],"Yes, this paper should be included because it provides a significant insight into the spread of COVID-19 using a novel model that incorporates human mobility, which is essential for understanding how infectious diseases propagate in response to population movements."
Theory and data for simulating fine-scale human movement in an urban environment,10.1098/rsif.2014.0642,,,,,,,,,,,
A large-scale location-based social network to understanding the impact of human geo-social interaction patterns on vaccination strategies in an urbanized area,10.1016/j.compenvurbsys.2018.06.008,,,,,,,,,,,
A branching model for the spread of infectious animal diseases in varying environments,10.1007/s00285-004-0267-5,7.0,,,no,not mentioned,11.0,"classical swine fever, foot-and-mouth disease, avian influenza, SARS",global,"['branching process', 'infectious diseases', 'control measures']",['general branching process'],"Yes, this paper should be included because it provides a model-based analysis of the impact of control measures on the spread of infectious diseases which can be related to human mobility and restrictions."
Using mobile phone data to study dynamics of rural-urban mobility,,7.0,,,no,not mentioned,0.0,not specified,rural-urban,"['human mobility', 'rural-urban mobility', 'population mobility']",[],"No, this paper should not be included as it does not specifically address the impact on infectious diseases, nor does it mention the use of any models related to disease transmission. The focus is more on general mobility patterns between rural and urban areas."
The spread of pathogens through trade in aquatic animals and their products,,,,,,,,,,,,
Complex responses to movement-based disease control: when livestock trading helps,10.1098/rsif.2016.0531,7.0,,,no,not mentioned,3.0,"livestock diseases (bovine viral diarrhoea, bovine herpes virus, Johne's disease, Escherichia coli O157)",global,"['livestock disease control', 'movement-based controls', 'next-generation matrix']","['household models', 'next-generation matrix']","Yes, this paper should be included because it provides valuable insights into the impact of animal movements on the spread of infectious diseases across different locations. Even though separated from human diseases directly, the methodology and insights could be beneficial to understand similar dynamics in human populations."
Migrating microbes: what pathogens can tell us about population movements and human evolution,10.1080/03014460.2017.1325515,8.0,,,no,not mentioned,16.0,"HIV, Schistosoma mansoni, human herpes simplex virus 2",sub-Saharan Africa,"['human migration', 'infectious diseases', 'pathogen genomes']",[],"Yes, this paper should be included because it provides a historical perspective on how human mobility has influenced the spread of infectious diseases, specifically in the context of Africa, contributing valuable insights into the co-evolutionary aspects of humans and pathogens."
Ethics and infectious disease,10.1111/j.1467-8519.2005.00441.x,,,,,,,,,,,
"Influence of age, irradiation and humanization on NSG mouse phenotypes",10.1242/bio.013201,2.0,,,no,not mentioned,20.0,not specified,global,"['humanized mice', 'therapeutic studies', 'immune reconstitution']",[],"No, this paper should not be included because it primarily focuses on the effects of humanization on mice for various diseases, not specifically on human mobility and its direct impact on infectious disease spread."
A Bayesian modelling framework to quantify multiple sources of spatial variation for disease mapping,10.1098/rsif.2022.0440,8.0,,,no,not mentioned,2.0,not specified,global,"['Bayesian hierarchical models', 'spatial connectivity', 'disease mapping']","['Bayesian modelling', 'penalized smoothing splines']","Yes, this paper should be included as it presents a novel modeling framework to understand spatial variations in disease spread, which is pivotal in analyzing the impact of human mobility on infectious diseases. Moreover, it emphasizes on connectivity due to human movement, making it highly relevant to the subject."
